Product Name,Price,URL,ASIN,Aspect ratio,Batteries Required,Battery cell composition,Battery life,Best Sellers Rank,Brand,CPU manufacturer,CPU model,CPU speed,Colour,Compatible devices,Computer Memory Type,Connectivity technology,Connector Type,Country/Region of origin,Customer Reviews,Date First Available,Digital storage capacity,Display Technology,Display Type,Display resolution maximum,Flash Memory Installed Size,Form Factor,Form factor,Graphics Card Description,Graphics Coprocessor,Graphics RAM Type,Graphics card description,Graphics coprocessor,Graphics processor manufacturer,Hard Disk Description,Hard Drive Size,Hard disk description,Hard disk size,Hardware Platform,Human interface input,Item Model Number,Item Weight,Item weight,Manufacturer,Manufacturer reference,Memory Storage Capacity,Memory storage capacity,Model,Model Name,Model name,Model year,Mounting Hardware,Number of Ports,Operating System,Operating system,Package Dimensions,Part Number,Power Source,Processor Brand,Processor Count,Processor Speed,Processor Type,Processor count,Processor model number,Product dimensions,RAM Size,RAM memory installed size,Ram Memory Installed Size,Ram Memory Technology,Resolution,Scanner Resolution,Screen Resolution,Screen size,Screen surface description,Shell type,Software included,Special Features,Special feature,Specific uses for product,Standing screen display size,Supports Bluetooth Technology,Total USB ports,Wattage,Wireless Type
Lenovo ThinkPad T490 14" Intel Core i5-8265U 16GB RAM 256GB SSD Windows 11 Pro - Non-Touch Screen (Renewed),$329.00,https://www.amazon.com.au/Lenovo-ThinkPad-Intel-i5-8265U-Windows/dp/B0FMJJKSR3/ref=sr_1_17,,,,,,,Lenovo,,Intel Core i5,1.6 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,256 GB,,,,,,,,,,,,ThinkPad T490,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
Dell Inspiron 15 3530 Laptop – Intel Core i5-1334U – 16 GB RAM – 512 GB PCIe NVMe SSD – 15.6 inch 1920x1080 120 Hz – Windows 11 – Platinum Silver,$899.00,https://www.amazon.com.au/Dell-Inspiron-3530-Laptop-Diagnosis/dp/B0CXT483TZ/ref=sr_1_18,,,,,,,DELL,,Intel Core i5,,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,Inspiron 15 3530,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,15.6 Inches,,,,,"Anti Glare Coating, Memory Card Slot, Numeric Keypad",,,,,,
HP ProBook 430 G4 Intel i3 7100U 8GB RAM 128GB SSD 13.3" Win 11 (Renewed),$447.00,https://www.amazon.com.au/HP-ProBook-Intel-7100U-Renewed/dp/B0F9XVJKBF/ref=sr_1_19,,,,,,,HP,,Intel Core i5,2.4 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,ProBook 430 G4,,,,,Windows 11,,,,,,,,2,,,,8 GB,,,,,,13.3 Inches,,,,,,,,,,,
"Dell Latitude 7390 13.3"" Touch Screen i5 8250U 16GB 256GB W11 Pro (Renewed), DW541",$439.00,https://www.amazon.com.au/Latitude-Touch-Screen-8250U-Renewed/dp/B0CNGZTY16/ref=sr_1_20,,,,,,,DELL,,Core i5,1.7 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Latitude,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,touchscreen,,,,,,
Lenovo ThinkPad T460 14-in Intel i5-6300 8GB RAM 128GB SSD Windows 11 (Renewed),$312.00,https://www.amazon.com.au/Lenovo-ThinkPad-i5-6300-Windows-Renewed/dp/B0FB7GNK2Y/ref=sr_1_21,,,,,,,Lenovo,,Core i5-6300U,2.4 GHz,Black,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,ThinkPad T460,,,,,Windows 11,,,,,,,,,,,,8 GB,,,,,,14 Inches,,,,,,,,,,,
"ASUS Vivobook Go 15 Laptop, 15.6-inch, Windows 11 Home, Intel Pentium Silver N6000 Processor, 256GB SSD, 8GB RAM, Intel HD Graphics Graphics, Peacock Blue, E510KA-EJ134W","$1,199.00",https://www.amazon.com.au/ASUS-Vivobook-15-6-inch-Processor-E510KA-EJ134W/dp/B0C7K1W5FH/ref=sr_1_22,,,,,,,ASUS,,Pentium,,Peacock Blue,,,,,,,,,,,,,,,,,,Dedicated,,,,,,256 GB,,,,,,,,,,,,Vivobook Go,,,,,Windows 11 Home,,,,,,,,,,,,8 GB,,,,,,15.6 Inches,,,,,"Anti Glare Coating, Backlit Keyboard, Memory Card Slot",,,,,,
Dell Latitude 7390 13.3" i7-8650U 16GB 256GB W11Pro (Renewed),$439.00,https://www.amazon.com.au/Latitude-i7-8650U-256GB-W11Pro-Renewed/dp/B0CXWVQ2DC/ref=sr_1_23,,,,,,,Dell,,Intel Core i7,1.9 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Latitude,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,Long Battery Life,,,,,,
Microsoft Surface Laptop GO -12.4" Touch Screen Intel Core i5 10th Generation 1035G1 16GB RAM 256GB SSD Windows 11 Notebook PC (Renewed),$895.00,https://www.amazon.com.au/Microsoft-Surface-Generation-Windows-Notebook/dp/B0FGDD187D/ref=sr_1_24,,,,,,,Microsoft,Intel,Intel Core i5,1 GHz,,,,,,,,,,,,,,,,,,,,,,,,SSD,256 GB,,,,,,,,,,,,,,,,,Windows 11,,,,,,,,4,,,,,,,,,,12.4 Inches,,,,,,,,,,,
Dell Latitude 7490 14" Core i5 8th Generation 8350U 16GB RAM 256GB M.2 SSD Windows 11 Slim Laptop PC with USB-C (Renewed),$312.00,https://www.amazon.com.au/Latitude-Generation-Windows-Laptop-Renewed/dp/B0C786C5MY/ref=sr_1_25,,,,,,,DELL,,Intel Core i5,1.7 GHz,,,,,,,,,,,,,,,,,,,Integrated,Intel HD Graphics,,,,,256 GB,,,,,,,,,,,,Latitude,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
"Lenovo IdeaPad 1 Laptop Computer for Home and Business Student, 16GB DDR4 RAM, 512GB PCIe SSD, 15.6"" FHD, Intel Dual-Core Processor, WiFi 6, Bluetooth, Type-C, HDMI, Windows 11 Pro, Wendbo",$848.00,https://www.amazon.com.au/Lenovo-Computer-Dual-Core-Processor-Bluetooth/dp/B0F7HHXT9W/ref=sr_1_26,,,,,,,Lenovo,,Celeron,,Cloud Grey,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,IdeaPad,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,15.6 Inches,,,,,HD Audio,,,,,,
"HP 14"" Laptop, 14-inch FHD Display, Intel i3-1215U Processor, 16GB RAM, 512GB SSD, Intel UHD Graphics, Windows 11, Slim & Lightweight Design, Long Battery Life, Silver, B22Z1PA",$799.00,https://www.amazon.com.au/HP-i3-1215U-Processor-Lightweight-B22Z1PA/dp/B0DTJRDS2S/ref=sr_1_27,,,,,,,HP,,Core i3,4.4,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,HP 14" Laptop,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,14,,,,,,,,,,,
HP EliteBook X360 830 G6 13.3" Intel i5-8265U 16GB RAM 256GB SSD Win 11 (Renewed),$312.00,https://www.amazon.com.au/HP-EliteBook-X360-830-G6/dp/B0F6MYPT5L/ref=sr_1_28,,,,,,,HP,,Core i5 Family,,Black or Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,EliteBook X360 830 G6,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,Convertible Design,,,,,,
Lenovo ThinkPad T460S 14" Intel Core i5-6300 8GB RAM 256GB SSD Windows 11 (Renewed),$312.00,https://www.amazon.com.au/Lenovo-ThinkPad-i5-6300-Windows-Renewed/dp/B0FH4MY72H/ref=sr_1_29,,,,,,,Lenovo,,Intel Core i5,2.4 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,ThinkPad T460s,,,,,Windows 11,,,,,,,,2,,,,8 GB,,,,,,14 Inches,,,,,,,,,,,
Dell Latitude 7400 Touch Laptop Intel i5-8365U Win 11 16GB RAM 256GB SSD (Renewed),$329.00,https://www.amazon.com.au/Latitude-Touch-Laptop-i5-8365U-Renewed/dp/B0CM6H59RC/ref=sr_1_30,,,,,,,DELL,,Intel Core i5,,,,,,,,,,,,,,,,,,,,Integrated,Intel UHD Graphics 620,,,,,256 GB,,,,,,,,,,,,1044,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,"Integrated Webcam, Touchscreen",,,,,,
Panasonic Laptop Let's Note CF-SZ5/12.1inch/Win 11 Pro/Core i5-6300U/Webcam/WiFi/Bluetooth/HDMI/8GB/512GB SSD (Renewed),$325.00,https://www.amazon.com.au/Panasonic-12-1inch-i5-6300U-Bluetooth-Renewed/dp/B0CR65BHMB/ref=sr_1_28,,,,,,,Panasonic,,Intel Core i5,2.4 GHz,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,Let s Note,,,,,Windows 11,,,,,,,,,,,,8 GB,,,,,,12.1 Inches,,,,,,,,,,,
"Dell Latitude 5491 14"" Laptop - Intel i5-8300H, 16GB RAM, 512GB SSD, Win 11 Pro (Renewed)",$409.00,https://www.amazon.com.au/Dell-Latitude-5491-14-Laptop/dp/B0DVSCFYK1/ref=sr_1_29,,,,,,,DELL,,Core i5 8300H,2.3 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,512 GB,,,,,,,,,,,,Latitude 5491,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
Dell Latitude 7400 14-inch Intel i5-8365U 16GB RAM 256GB SSD Windows 11 Laptop (Renewed),$305.00,https://www.amazon.com.au/Latitude-7400-14-inch-i5-8365U-Windows/dp/B0F4JTKL18/ref=sr_1_30,,,,,,,DELL,,Intel Core i5,4.1 GHz,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Latitude 7400,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
ASUS TUF Gaming F16 Gaming Laptop. 16" FHD+ Display. Intel Core i7-13620H Processor 2.4 GHz (up to 4.9 GHz). NVIDIA GeForce RTX 4050 Laptop GPU. DDR5 16GB RAM. 512GB PCIe 4.0 SSD. Wi-Fi 6. Win 11 Home,"$1,639.00",https://www.amazon.com.au/ASUS-Laptop-Display-i7-13620H-Processor/dp/B0F3C4G4XX/ref=sr_1_31,,,,,,,ASUS,,Intel Core 7,,Mecha Gray,,,,,,,,,,,,,,,,,,Dedicated,,,,,,512 GB,,,,,,,,,,,,FX607VU-RL097W,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,16 Inches,,,,,"Anti Glare Coating, Backlit Keyboard, Lightweight",,,,,,
Acer Spin 5 SP513-53N 13.3" 2-in-1 Touch Screen Intel i5 8265U 1.60GHz 8GB RAM 256GB SSD Win 11 (Renewed),$439.99,https://www.amazon.com.au/SP513-53N-Touch-Screen-1-60GHz-Renewed/dp/B0BPTG267R/ref=sr_1_32,,,,,,,acer,,Core i5,1.6 GHz,Black,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Spin 5,,,,,Windows 11,,,,,,,,,,,,8 GB,,,,,,13.3 Inches,,,,,,,,,,,
"Microsoft Surface Pro 4 12.3"" i5-6300U, 8GB, 256GB, Win11 Pro (Renewed)",$209.00,https://www.amazon.com.au/Microsoft-Surface-i5-6300U-256GB-Renewed/dp/B0FD9NFPNS/ref=sr_1_33,,,,,,,Microsoft,,Intel Core i5,2.4 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,Surface Pro 4,,,,,Windows 11 Professional,,,,,,,,2,,,,8 GB,,,,,,12.3 Inches,,,,,,,,,,,
MSI Modern 15 H B13M 15.6" 1080p IPS i9 13900H 32GB 1TB SSD WiFi 6E W11H Laptop,$799.00,https://www.amazon.com.au/MSI-Modern-1080p-13900H-Laptop/dp/B0FKRKRVJ3/ref=sr_1_34,,,,,,,MSI,,Core i9,2.6 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,Modern,,,,,Windows 11 Home,,,,,,,,14,,,,32 GB,,,,,,15.6,,,,,,,,,,,
"HP 17.3" Laptop, FHD Display, Intel Core 3 100U Processor, 16 GB RAM, 256 GB SSD, Windows 11 Home, Natural Silver, BV7S9PA",$999.00,https://www.amazon.com.au/HP-Display-Intel-Core-Processor-Windows-11-Home/dp/B0FK92F32P/ref=sr_1_35,,,,,,,HP,,Intel Core i5,4.7,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,HP 15" Laptop,,,,,Windows 11 Home,,,,,,,,10,,,,16 GB,,,,,,15.6 Inches,,,,,,,,,,,
"Dell 15 Laptop DC15250-15.6-inch FHD+ 120Hz Display, 13th Gen Intel Core i5-1334U, 16GB RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, 1 Year Basic Onsite Service - Platinum Silver","$1,099.99",https://www.amazon.com.au/DC15250-15-6-inch-Display-i5-1334U-Graphics-Windows/dp/B0FKCX7XR3/ref=sr_1_36,,,,,,,DELL,,Intel Core i5,,Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,Dell Dell Dc15250 Laptop,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,15.6 Inches,,,,,"Numeric Keypad, Spill Resistant",,,,,,
Dell Latitude 13.3" 5310 Intel Core i5-10310U 32GB 512GB SSD Windows 11 Pro Touch Screen (New Compatible Battery Installed) (Renewed),$379.00,https://www.amazon.com.au/Dell-5310-i5-10310U-Compatible-Installed/dp/B0F28CLLRZ/ref=sr_1_37,,,,,,,DELL,,Core i5-10310U,4.4 GHz,Black and Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,Dell 5310,,,,,Windows 11 Pro,,,,,,,,,,,,32 GB,,,,,,13.3 Inches,,,,,,,,,,,
Dell Latitude 7290 12.5" Intel i5-8350U 16GB RAM 256GB SSD Win 11 Pro Laptop (Renewed),$439.00,https://www.amazon.com.au/Latitude-7290-i5-8350U-Laptop-Renewed/dp/B0F2GVN375/ref=sr_1_38,,,,,,,DELL,,Intel Core i5,1.7 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Latitude 7290,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,12.5 Inches,,,,,Integrated Graphics (UHD Graphics 620),,,,,,
"Lenovo Yoga Slim 7 14IMH9 Laptop, 14"", 1TB/32GB RAM, Intel Core Ultra 7 155H, Luna Grey","$1,779.00",https://www.amazon.com.au/Lenovo-14IMH9-Laptop-Intel-Ultra/dp/B0CTZSQ2Q7/ref=sr_1_39,,,,,,,Lenovo,,Intel Core Ultra 7,,Gray,,,,,,,,,,,,,,,,,,Integrated,,,,,,1 TB,,,,,,,,,,,,Yoga Slim 7,,,,,Windows 11 Home,,,,,,,,,,,,32 GB,,,,,,14 Inches,,,,,"AI, Backlit Keyboard, HD Audio, Lightweight, TrackPoint",,,,,,
Dell Latitude 5490 14" FHD Non-Touch Screen Intel i5-8250U 16GB 256GB SSD Win11 Pro Notebook (Renewed),$349.00,https://www.amazon.com.au/Latitude-5490-Non-Touch-i5-8250U-Notebook/dp/B0D6VXW22R/ref=sr_1_43,,,,,,,DELL,,Core i5 8250U,,Black,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Dell Latitude 5490,,,,,Windows 11,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,touchscreen,,,,,,
HP Probook 430 G7 13.3-in Intel Core i5-10210U 16GB RAM 256GB SSD Windows 11 Pro (Renewed),$439.00,https://www.amazon.com.au/HP-Probook-430-G7-i5-10210U/dp/B0DJQHH56R/ref=sr_1_44,,,,,,,HP,,Core i5-10210U,,Black or Silver,,,,,,,,,,,,,,,,,,Integrated,,,,,,16 GB,,,,,,,,,,,,Probook 430 G7,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,13.3 Inches,,,,,Anti Glare Coating,,,,,,
"ERAZER Crawler E30e Gaming Laptop - Intel Core i5, 16GB RAM, 1 TB SSD, NVIDIA GeForce RTX 2050, 15.6"", 1920x1080 Full HD (60hz), Windows 11 Home - RGB Backlit Keyboard","$1,349.00",https://www.amazon.com.au/ERAZER-Crawler-E30e-Gaming-Laptop/dp/B0DBN6JZYX/ref=sr_1_45,,,,,,,ERAZER,,Core i5-12450H,,Black,,,,,,,,,,,,,,,,,,Dedicated,,,,,,1 TB,,,,,,,,,,,,ERAZER Crawler E30e 1TB,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,15.6 Inches,,,,,"Anti Glare Coating, Backlit Keyboard, Numeric Keypad",,,,,,
Dell Latitude 5410 14" FHD Intel Core i5-10210U 16GB RAM 256GB SSD Win 11 Pro Laptop (Renewed),$305.00,https://www.amazon.com.au/Latitude-5410-i5-10210U-Laptop-Renewed/dp/B0DWRTSR76/ref=sr_1_46,,,,,,,DELL,,Intel Core i5,1.6 GHz,Black,,,,,,,,,,,,,,,,,,Integrated,,,,,,256 GB,,,,,,,,,,,,Latitude 5410,,,,,Windows 11 Pro,,,,,,,,,,,,16 GB,,,,,,14 Inches,,,,,,,,,,,
HP Victus 15.6" 144Hz FHD (1920x1080) IPS Laptop 2024 New | AMD Ryzen 5 7535HS 6-Core | AMD Radeon RX 6550M Graphics | Backlit Keyboard | Wi-Fi 6 | 8GB DDR5 512GB SSD | Win11 Home,"$1,895.00",https://www.amazon.com.au/HP-1920x1080-Graphics-Backlit-Keyboard/dp/B0DD3JZSCK/ref=sr_1_47,,,,,,,HP,,Ryzen 5,,Mica Silver,,,,,,,,,,,,,,,,,,Dedicated,,,,,,512 GB,,,,,,,,,,,,15-FB206KXDW,,,,,Windows 11 Home,,,,,,,,,,,,8 GB,,,,,,15.6 Inches,,,,,"Anti Glare Coating, Backlit Keyboard, HD Audio, Memory Card Slot, Numeric Keypad",,,,,,
Apple 2017 MacBook Pro A1706 13" Touch Bar Intel i5-7267U 8GB RAM 256GB SSD Mac OS (Renewed),$730.00,https://www.amazon.com.au/Apple-MacBook-A1706-i5-7267U-Renewed/dp/B0FPLWDD4Q/ref=sr_1_48,,,,,,,Apple,,Intel Core i5,3.1 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,,,,,,,,"MacBook Pro 13"" (Mid-2017, Touch Bar)",,,,,Mac OS,,,,,,,,2,,,,8 GB,,,,,,13.3 Inches,,,,,,,,,,,
"DELL Latitude E7270 12.5"""" HD i7-6600U 8GB 256GB Win11 (Renewed), DY062",$285.00,https://www.amazon.com.au/Latitude-E7270-i7-6600U-256GB-Renewed/dp/B0CVRLD5K6/ref=sr_1_49,,,,,,,DELL,,Intel Core i7,3.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,SSD,256 GB,,,,,,,,,,,,Latitude,,,,,Windows 11,,,,,,,,,,,,16 GB,,,720p,,,12.5 Inches,,,,,,,,,,,
Asus Vivobook 15 15.6" FHD 1080p IPS i5-13420H 16GB 512GB SSD WiFi 6E W11H Laptop (X1502VA-BQ705W),$999.00,https://www.amazon.com.au/Vivobook-1080p-i5-13420H-Laptop-X1502VA-BQ705W/dp/B0FBLWZZT5/ref=sr_1_50,,,,,,,ASUS,,Core i5,4.6 GHz,,,,,,,,,,,,,,,,,,,Integrated,,,,,SSD,,,,,,1.7 Kilograms,,,,,,,Vivobook 15,,,,,Windows 11 Home,,,,,,,,,,,,16 GB,,,,,,15.6 Inches,,,,,,,,,,,
"Lenovo IdeaPad 5 2-in-1 14-Inch FHD Display with 10 Point Multi Touch Intel Core i5-13420H 512 GB SSD 8 GB Windows 11 Home, Luna Grey","$1,398.00",https://www.amazon.com.au/Lenovo-IdeaPad-14-Inch-Display-i5-13420H/dp/B0DJCRQWCF/ref=sr_1_51,,,,,,,Lenovo,,Core i5,,Gray,,,,,,,,,,,,,,,,,,Integrated,,,,,,512 GB,,,,,,,,,,,,IdeaPad 5 2-in-1,,,,,Windows 11 Home,,,,,,,,,,,,8 GB,,,,,,14 Inches,,,,,"Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight, Memory Card Slot",,,,,,
